,adviser,amdahl,apollo,basf,bti,burroughs,c.r.d,cambex,cdc,dec,dg,formation,four-phase,gould,harris,honeywell,hp,ibm,ipl,magnuson,microdata,nas,ncr,nixdorf,perkin-elmer,prime,siemens,sperry,sratus,wang,2,MMIN,4,5,6,CHMAX,8
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4453342090942124,0.25107383385349114,0.406469197468197,1.0,0.7999999999999999,1.0,0.7592569699389438
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11921465319138214,0.8744630830732544,1.0,0.4338609156373123,0.5999999999999999,0.6761234037828133,0.8258005148093821
2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11921465319138214,0.8744630830732544,1.0,0.4338609156373123,0.5999999999999999,0.6761234037828133,0.7821357152192814
3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11921465319138214,0.8744630830732544,1.0,0.4338609156373123,0.5999999999999999,0.6761234037828133,0.7286885982619524
4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11921465319138214,0.8744630830732544,0.6933949882146647,0.4338609156373123,0.5999999999999999,0.47809144373375745,0.6712113404111031
5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0948398495546815,0.8744630830732544,1.0,0.6135719910778963,0.5999999999999999,0.6761234037828133,0.8621379348003944
6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06747330282503616,1.0,1.0,0.6135719910778963,0.7999999999999999,0.6761234037828133,0.893257406934223
7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06747330282503616,1.0,1.0,0.6135719910778963,0.7999999999999999,0.6761234037828133,0.9555788043699882
8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06747330282503616,1.0,1.0,0.6135719910778963,0.7999999999999999,0.6761234037828133,0.9999999999999998
9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06747330282503616,1.0,1.0,0.8677218312746247,0.9999999999999999,0.9561828874675149,0.9999999999999998
10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.704965678114836,0.4978523322930176,0.2737053329013333,0.0,0.0,0.16903085094570333,0.4008161731165832
11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.704965678114836,0.37661075078023687,0.2993865268445161,0.15339299776947407,0.0,0.2927700218845599,0.41195437047215927
12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28150206150385493,0.6233892492197631,0.4765925052354731,0.6183469424008422,0.0,0.33806170189140666,0.5928182884809559
13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24080534941331388,0.7489261661465089,0.6933949882146647,0.6183469424008422,0.0,0.33806170189140666,0.6808639180087965
14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6751596105480119,0.0,0.0,0.0,0.0,0.23904572186687872,0.11092437480817818
15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.550245568547662,0.37661075078023687,0.6933949882146647,0.0,0.39999999999999997,0.6761234037828133,0.38295839698331585
16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5099948384931939,0.38080657134768614,0.2148887578532096,0.21693045781865616,0.39999999999999997,0.46291004988627577,0.25030117528459256
